인천공항 일별 시간대별 여객(2016~2019),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
일자,국내/국제,도착/출발,00시,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
2016년 01월 01일,국내,도착,0,0,0,0,0,0,0,87,200,0,0,184,0,0,0,0,0,201,0,0,0,0,0,0
2016년 01월 01일,국내,출발,0,0,0,0,0,0,0,0,63,124,0,0,0,0,28,0,0,79,0,210,0,0,0,0
2016년 01월 01일,국제,도착,399,178,161,408,"1,716","4,213","4,439","2,572","3,316","1,439","1,775","3,503","2,491","2,845","3,324","5,909","6,117","6,814","3,500","3,160","2,513","2,182",896,132
2016년 01월 01일,국제,출발,"1,367",410,0,0,167,0,0,691,"5,032","7,932","6,499","6,035","4,093","3,962","4,937","4,257","2,878","3,887","4,241","6,569","6,359","5,295","2,921",526
2016년 01월 02일,국내,도착,0,0,0,0,0,0,0,122,94,65,0,178,0,0,0,0,131,80,0,0,0,0,172,0
2016년 01월 02일,국내,출발,0,0,0,0,0,0,0,0,108,0,0,0,0,0,15,0,0,126,0,268,45,0,0,0
2016년 01월 02일,국제,도착,146,0,163,506,"2,033","3,923","5,510","3,330","3,051","3,413","1,041","4,144","2,473","3,398","3,631","6,195","7,260","7,510","4,377","3,261","3,529","2,553",985,0
2016년 01월 02일,국제,출발,888,754,0,0,167,0,0,207,"4,924","8,019","6,276","5,592","3,076","4,425","4,454","4,912","2,891","4,196","2,993","7,442","6,957","5,303","3,672",918
2016년 01월 03일,국내,도착,0,0,0,0,0,0,0,124,140,192,0,181,0,0,0,0,0,279,0,0,0,0,249,0
2016년 01월 03일,국내,출발,0,0,0,0,0,0,0,0,248,0,0,0,0,0,0,0,0,0,173,76,104,0,184,0
2016년 01월 03일,국제,도착,153,0,145,0,"2,595","4,433","6,214","4,256","3,844","3,430","1,114","4,886","3,890","3,434","4,277","5,192","7,431","11,111","6,160","4,651","5,717","3,022",885,"1,568"
2016년 01월 03일,국제,출발,"1,053",268,181,0,172,0,0,122,"3,662","6,201","7,111","5,927","3,305","4,081","5,171","5,289","3,813","3,588","3,481","5,055","8,310","5,841","5,913","4,987"
2016년 01월 04일,국내,도착,191,0,0,0,0,0,0,90,185,0,0,165,0,0,0,0,0,232,0,0,0,0,0,0
2016년 01월 04일,국내,출발,0,0,0,0,0,0,0,0,180,0,0,0,0,0,22,0,0,0,167,65,157,0,0,0
2016년 01월 04일,국제,도착,207,0,344,0,"2,105","3,981","4,352","5,509","3,313","4,685","2,371","4,662","2,595","4,009","3,781","5,165","6,138","6,899","5,570","3,078","4,957","1,966",873,106
2016년 01월 04일,국제,출발,"3,039",433,0,0,166,0,0,0,"5,071","7,417","7,458","6,132","5,153","4,631","4,339","5,677","3,825","3,577","3,234","7,315","6,697","5,554","3,980","1,116"
2016년 01월 05일,국내,도착,0,0,0,0,0,0,0,223,0,82,0,169,0,0,0,0,0,227,0,0,0,0,46,0
2016년 01월 05일,국내,출발,0,0,0,0,0,0,0,0,167,0,0,0,0,0,35,0,0,189,0,270,0,0,0,0
2016년 01월 05일,국제,도착,157,160,170,146,"2,554","5,272","4,141","3,556","3,597","2,279","1,203","3,123","2,158","2,759","2,616","4,738","5,199","6,547","5,348","3,300","2,797","1,346",710,77
2016년 01월 05일,국제,출발,956,228,0,0,176,0,0,318,"4,779","9,233","7,322","5,891","3,859","5,210","4,079","6,231","2,509","4,032","3,563","7,381","6,590","5,011","1,494",440
2016년 01월 06일,국내,도착,0,0,0,0,0,0,0,0,202,123,0,182,0,75,0,0,0,302,0,0,0,27,0,0
2016년 01월 06일,국내,출발,0,0,0,0,0,0,0,0,115,0,0,0,0,0,21,0,0,129,0,128,174,0,0,0
2016년 01월 06일,국제,도착,136,0,96,156,"2,378","4,435","5,292","2,493","2,652","1,692","1,261","3,138","2,189","3,158","2,975","4,992","5,632","7,031","4,337","2,304","2,249","1,307",966,115
2016년 01월 06일,국제,출발,"1,471",253,0,0,165,0,0,179,"5,534","8,411","7,515","6,051","3,705","4,842","4,431","4,939","2,867","4,237","3,051","7,103","7,689","5,559","3,161","1,344"
2016년 01월 07일,국내,도착,0,0,0,0,0,0,0,98,170,0,0,180,0,0,0,0,0,207,0,0,0,0,117,0
2016년 01월 07일,국내,출발,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,0,119,0,215,130,0,0,0
2016년 01월 07일,국제,도착,157,0,124,0,"2,243","4,151","4,431","2,347","3,126","1,567","1,486","3,339","2,548","2,305","3,034","5,180","6,636","6,001","4,973","3,153","2,628","1,632",548,466
2016년 01월 07일,국제,출발,"1,701",254,0,0,157,0,0,909,"5,608","8,238","7,095","5,615","2,737","5,417","4,343","4,965","3,398","3,941","2,863","7,012","6,360","5,901","2,714","1,501"
2016년 01월 08일,국내,도착,0,0,0,0,0,0,0,208,0,82,0,0,174,0,0,0,0,224,0,0,0,0,0,0
2016년 01월 08일,국내,출발,0,0,0,0,0,0,0,0,29,82,0,0,0,0,27,0,0,137,0,278,0,0,0,0
2016년 01월 08일,국제,도착,102,145,0,156,"2,340","3,672","5,938","2,529","3,537","1,811","2,000","3,173","2,285","2,684","2,823","5,644","6,116","9,186","4,005","3,684","2,917","2,207",830,118
2016년 01월 08일,국제,출발,"1,121",250,0,0,164,0,0,922,"5,301","7,542","6,995","6,335","4,338","4,458","4,755","4,816","2,443","4,420","3,236","7,650","6,566","4,749","3,003",128
2016년 01월 09일,국내,도착,0,0,0,0,0,0,0,105,204,0,0,172,0,0,0,0,98,93,0,0,0,0,107,0
2016년 01월 09일,국내,출발,0,0,0,0,0,0,0,0,152,0,0,0,0,0,56,0,0,150,0,305,0,0,0,0
2016년 01월 09일,국제,도착,134,150,0,336,"3,232","4,422","5,441","3,682","2,948","2,352","1,392","4,637","2,415","2,785","3,943","7,001","6,329","6,887","5,190","4,091","2,856","2,199","1,094",0
2016년 01월 09일,국제,출발,"1,572",606,0,0,169,0,0,291,"5,697","7,571","7,340","5,798","3,659","5,059","4,478","4,829","3,589","2,937","4,389","6,442","7,077","5,266","2,794","1,460"
2016년 01월 10일,국내,도착,0,0,0,0,0,0,0,92,164,0,0,183,0,0,0,0,134,133,0,0,0,0,215,0
2016년 01월 10일,국내,출발,0,0,0,0,0,0,0,0,178,0,0,0,0,0,0,0,0,176,0,164,175,0,0,0
2016년 01월 10일,국제,도착,129,0,160,186,"2,726","5,037","6,123","4,068","3,701","2,476","2,511","4,612","2,243","4,308","3,436","6,425","6,726","9,265","4,647","4,493","3,531","4,085","1,860",145
2016년 01월 10일,국제,출발,"1,007",0,0,0,176,0,0,673,"4,944","8,001","6,638","6,708","3,815","5,309","4,459","5,673","4,164","3,652","4,701","8,122","7,666","4,457","2,825",970
2016년 01월 11일,국내,도착,0,0,0,0,0,0,0,134,242,0,0,174,0,0,0,0,0,223,0,0,0,0,0,0
2016년 01월 11일,국내,출발,0,0,0,0,0,0,0,0,201,0,0,0,0,0,33,0,0,134,0,66,159,0,0,0
2016년 01월 11일,국제,도착,149,0,157,456,"2,358","5,144","5,745","4,097","4,025","2,201","1,707","3,881","2,349","3,155","4,252","4,245","6,118","8,443","5,200","3,481","3,436","1,863","1,166",82
2016년 01월 11일,국제,출발,"1,752",265,0,0,162,0,0,329,"6,114","8,263","6,160","6,149","5,364","5,217","3,991","5,251","3,497","3,480","2,967","6,810","7,265","5,578","2,524","1,003"
2016년 01월 12일,국내,도착,0,0,0,0,0,0,0,127,123,103,0,187,0,0,0,0,0,201,0,0,0,0,45,0
2016년 01월 12일,국내,출발,0,0,0,0,0,0,0,0,210,0,0,0,0,0,43,0,0,132,0,285,0,0,0,0
2016년 01월 12일,국제,도착,139,160,0,367,"3,232","4,573","5,200","3,247","3,296","2,163","1,420","3,253","2,505","2,996","3,097","5,790","6,099","6,288","4,539","3,750","3,287","1,594",771,123
2016년 01월 12일,국제,출발,"1,562",259,0,0,175,0,0,305,"5,581","8,360","6,957","5,790","3,855","4,763","4,492","4,744","3,145","3,809","3,096","7,806","6,040","3,983","1,588",447
2016년 01월 13일,국내,도착,0,0,0,0,0,0,0,104,290,0,0,152,0,41,0,0,0,0,249,0,0,0,54,0
2016년 01월 13일,국내,출발,0,0,0,0,0,0,0,0,179,0,0,0,0,0,0,47,0,0,92,62,83,173,0,0
2016년 01월 13일,국제,도착,182,145,154,0,"2,945","4,580","5,803","3,616","2,217","2,788","1,255","3,838","2,553","3,592","2,966","4,804","5,115","6,422","6,948","3,635","2,860","3,028","1,092",473
2016년 01월 13일,국제,출발,"1,192",267,0,0,168,0,0,446,"6,169","7,273","7,133","5,940","3,640","4,320","3,526","3,310","3,445","4,615","4,508","4,613","5,588","5,328","5,354","3,902"
2016년 01월 14일,국내,도착,0,0,0,0,0,0,0,302,0,0,0,183,0,0,0,0,0,209,0,0,0,0,83,0
2016년 01월 14일,국내,출발,0,0,0,0,0,0,0,0,34,97,0,0,0,0,0,0,0,157,0,60,0,313,0,0
2016년 01월 14일,국제,도착,471,0,164,364,"1,233","3,797","4,291","3,988","3,553","3,218","2,971","4,281","2,959","3,174","3,694","5,622","5,472","6,808","4,592","5,312","3,596","2,433","1,434",371
2016년 01월 14일,국제,출발,"2,811",934,0,0,169,0,0,586,"4,978","7,630","7,264","6,225","3,381","5,079","4,611","4,469","4,398","3,134","2,812","3,033","5,089","5,248","6,158","3,129"
2016년 01월 15일,국내,도착,0,0,0,0,0,0,0,103,99,132,0,187,0,0,0,0,0,296,0,0,0,0,0,0
2016년 01월 15일,국내,출발,0,0,0,0,0,0,0,0,25,0,126,0,0,0,69,0,0,0,156,112,180,0,0,0
2016년 01월 15일,국제,도착,0,234,162,180,"1,279","4,528","5,501","3,940","3,280","4,073","2,848","4,883","3,177","3,732","3,783","5,939","6,435","6,903","5,139","4,887","4,844","3,452","1,780",0
2016년 01월 15일,국제,출발,"1,831","1,366",0,0,164,0,0,667,"4,774","6,288","6,248","6,323","5,725","4,785","4,922","5,389","4,812","3,956","2,806","7,269","5,644","6,087","4,103","1,159"
2016년 01월 16일,국내,도착,0,0,0,0,0,0,0,0,200,82,0,188,0,0,0,0,0,236,0,0,0,0,121,0
2016년 01월 16일,국내,출발,0,0,0,0,0,0,0,0,178,0,0,0,0,0,39,0,0,135,0,169,176,0,0,0
2016년 01월 16일,국제,도착,243,0,171,563,"1,827","4,810","5,187","4,846","3,792","3,358","1,935","3,988","3,434","3,877","4,097","6,626","5,793","7,590","5,751","5,184","3,929","2,279",741,844
2016년 01월 16일,국제,출발,"1,356",599,0,0,176,0,0,176,"3,809","9,168","7,547","5,446","4,152","4,710","5,687","4,432","3,171","3,888","3,185","6,311","6,507","4,916","4,300","1,177"
2016년 01월 17일,국내,도착,0,0,0,0,0,0,0,257,0,0,0,187,0,0,0,0,0,245,0,0,0,0,160,626
2016년 01월 17일,국내,출발,0,0,0,0,0,0,0,0,190,0,0,0,0,0,0,0,0,0,131,359,0,0,0,0
2016년 01월 17일,국제,도착,236,0,167,184,"2,200","5,236","6,124","5,792","4,058","3,104","1,555","4,921","3,740","3,407","4,830","7,461","8,742","8,580","5,207","4,439","4,738","3,559","1,395",142
2016년 01월 17일,국제,출발,"1,956",260,0,0,161,0,0,847,"4,915","7,146","7,212","6,599","4,020","6,079","4,831","4,940","3,890","4,344","5,599","7,332","7,630","4,514","3,342","1,175"
2016년 01월 18일,국내,도착,0,0,0,0,0,0,0,0,252,119,0,187,0,0,0,0,0,253,0,0,0,0,0,"1,235"
2016년 01월 18일,국내,출발,0,0,0,0,0,0,0,0,187,0,0,0,0,0,28,0,0,164,0,105,0,157,0,0
2016년 01월 18일,국제,도착,213,0,180,242,"3,067","5,197","6,710","3,653","3,435","2,815","1,745","4,941","2,700","3,444","3,258","6,739","6,274","7,768","5,279","4,182","3,985","1,722","1,110",579
2016년 01월 18일,국제,출발,"1,352",264,0,0,176,0,0,312,"5,249","8,071","7,413","5,283","4,536","5,356","4,640","4,699","3,069","3,595","4,370","6,691","6,831","5,132","2,696",158
2016년 01월 19일,국내,도착,533,0,0,0,0,0,0,0,310,0,0,184,0,0,0,0,0,212,0,0,0,0,46,0
2016년 01월 19일,국내,출발,0,0,0,0,0,0,0,0,160,0,0,0,0,0,51,0,0,99,22,384,0,0,0,0
2016년 01월 19일,국제,도착,591,171,0,221,"3,098","4,727","5,982","3,733","3,402","2,415","1,599","3,903","3,091","3,196","3,177","4,323","7,538","8,234","3,399","4,370","3,730","2,603","1,301",524
2016년 01월 19일,국제,출발,"1,848",394,0,0,168,0,0,312,"4,876","7,482","5,645","5,373","4,379","5,321","4,183","4,293","2,723","3,927","3,620","6,500","5,840","4,660","2,077",668
2016년 01월 20일,국내,도착,0,0,0,0,0,0,0,95,182,0,0,185,0,62,0,0,0,249,0,0,0,0,53,0
2016년 01월 20일,국내,출발,0,0,0,0,0,0,0,0,175,0,0,0,0,0,37,0,0,122,0,317,0,0,0,0
